country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,4.15,2.77,3.46,,,,,,,,,,,,,,,,,21.5,,,,,65.1,,,91.4,96.9,128,163,147,154,172,165,520,597,497,674,732,988,1010,952,1160,1330,1650,1680,2200,2260,2650,2790,2940,3350,3400,3700,3800,4020,4190,4520,5120,5640,5970,7000,7130,8190,8340,9640,10800,12500,14200,14600,14100,13800,15300,13700,15600,17500,17600,18600,18200,18900,21400,23200,21000,19300,20500,18900,7530,6430,5870,6360,7760,8570,10200,10100,14600,18200,20200,21700,29500,35500,40000,44700,54000,61200,70100,71700,75700,76600,91800,80700,55500,70900,66400,70300,79000,95100,101000,115000,128000,139000,149000,157000,172000,195000,214000,234000,250000,263000,273000,282000,296000,317000,338000,358000,378000,395000,406000,423000,445000,473000,497000,518000,538000,566000,588000,608000,629000,634000,659000,646000,659000,668000,674000,727000,729000,760000,781000,764000,717000,691000,631000,539000,442000,446000,412000,341000,329000,333000,321000,322000,319000,352000,343000,334000,326000,321000,311000,260000,305000,286000,296000,272000,227000
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,18.3,22,18.3,22,25.7,917,1240,20500,15200,21200,23500,30600,31300,31100,39700,38800,44800,36600,36900,36900,36900,35300,46400,49900,47200,47700,48400,54500,52000,57000,58100,66000,73100,70600,41100,41600,81500,78400,113000,101000,84700,107000,113000,116000,124000,136000,157000,168000,161000,165000,176000,171000,211000
United Kingdom,9360,9360,9360,9370,9370,10000,10000,10000,10000,10000,11000,11000,11000,11000,11000,12300,12300,12300,12300,12300,13600,13600,13600,13600,13600,15000,15100,15100,15100,15100,16900,16900,16900,16900,16900,19200,19200,19200,19200,19200,21400,21400,21400,21500,21500,22400,23600,24500,25800,26700,26700,26900,30200,30400,31500,33300,33300,33300,33300,33300,35600,37000,37400,38100,39000,41500,42000,42100,42400,42600,42900,44600,46900,49100,49600,50200,52300,52600,53400,67900,65800,65600,65500,65600,65300,76500,73800,75900,77800,81000,81900,85400,89200,93500,100000,95800,104000,109000,116000,123000,117000,116000,116000,139000,131000,140000,138000,135000,150000,168000,175000,170000,180000,194000,206000,212000,218000,213000,224000,229000,242000,255000,265000,257000,272000,271000,276000,271000,273000,297000,313000,315000,328000,319000,316000,313000,321000,333000,345000,353000,361000,353000,316000,362000,366000,376000,386000,387000,415000,420000,411000,427000,430000,432000,438000,454000,474000,462000,466000,470000,482000,456000,499000,484000,490000,507000,502000,467000,457000,470000,320000,429000,455000,476000,450000,247000,467000,438000,461000,441000,413000,396000,392000,424000,429000,454000,469000,449000,453000,476000,470000,469000,455000,442000,418000,437000,462000,476000,486000,501000,545000,529000,541000,553000,577000,574000,571000,556000,547000,584000,589000,593000,604000,608000,623000,619000,593000,607000,629000,653000,661000,648000,660000,618000,604000,599000,605000,605000,645000,579000,561000,549000,546000,529000,560000,569000,572000,570000,582000,556000,567000,556000,546000,547000,538000,551000,527000,532000,531000,542000,546000,529000,540000,539000,543000,541000,528000,521000,472000,493000,448000,469000,458000,420000
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,268,290,297,334,341,334,378,392,403,418,447,484,521,561,601,664,719,781,763,792,829,865,902,1020,1140,1320,1450,1600,1800,2090,2270,3030,3530,3380,4320,4730,5310,5030,5520,5880,6220,6920,7770,9310,11200,12700,15100,16800,18200,19800,24700,26800,30200,33200,38200,40100,41100,41700,45400,47500,45700,47500,54900,58700,58900,59300,72900,82400,93800,98700,103000,126000,140000,134000,136000,133000,147000,144000,176000,199000,210000,236000,254000,268000,272000,288000,308000,374000,336000,402000,428000,451000,454000,425000,480000,481000,501000,546000,626000,663000,722000,765000,895000,881000,985000,1030000,1200000,1050000,1160000,1270000,1260000,1340000,1440000,1320000,1370000,1520000,1670000,1750000,1480000,1740000,1420000,1430000,1900000,1700000,1740000,1890000,1850000,1830000,1960000,1740000,1480000,1260000,1350000,1440000,1490000,1710000,1790000,1510000,1670000,1870000,2040000,2200000,2270000,2440000,2360000,2250000,2480000,2580000,2160000,2540000,2610000,2550000,2610000,2490000,2720000,2860000,2830000,2740000,2830000,2890000,2880000,2990000,3120000,3260000,3390000,3560000,3700000,3830000,4020000,4330000,4360000,4560000,4770000,4600000,4410000,4610000,4740000,4890000,4900000,4720000,4540000,4310000,4340000,4480000,4490000,4500000,4690000,4890000,4960000,4820000,4820000,4910000,5030000,5090000,5130000,5250000,5370000,5400000,5500000,5690000,5600000,5640000,5680000,5760000,5790000,5700000,5790000,5610000,5260000,5400000,5290000,5120000,5160000,5250000
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,66,51.3,51.3,55,73.3,77,88,84.3,88,73.3,66,95.3,110,143,147,147,147,2460,2630,3160,3510,3740,3920,4030,4440,3980,4390,4320,4120,4010,4320,4560,5520,5410,4880,4880,5600,5740,5810,6080,5780,5680,5970,5900,5650,5740,6280,5840,5380,4870,3820,3450,3300,3180,3560,4810,4880,3990,4550,5170,4470,4070,4590,5440,5560,5690,6730,5310,5090,4620,4600,5610,5780,6650,6000,8270,8060,6390,7760,8690,7590,6750
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.613,0.736,0.491,0.613,,,,,,,,,,,,,,,,,3.8,,,,,11.5,,,16.2,17.2,22.7,28.8,26,27.2,30.5,29.2,92.2,106,88.1,119,130,175,180,169,205,236,293,299,390,400,470,495,521,593,602,656,673,712,742,802,908,1000,1060,1240,1260,1450,1480,1710,1920,2220,2520,2590,2500,2440,2720,2430,2770,3100,3120,3290,3230,3350,3790,4120,3720,3410,3640,3350,1330,1140,1040,1130,1370,1520,1810,1790,2590,3220,3570,3850,5230,6290,7080,7910,9570,10800,12400,12700,13400,13600,16300,14300,9840,12600,11800,12500,14000,16900,17900,20400,22700,24600,26400,27900,30500,34600,37900,41500,44300,46500,48500,50000,52400,56200,59800,63400,67000,70100,72000,75000,78900,83700,88100,91900,95400,100000,104000,108000,111000,112000,117000,115000,117000,118000,119000,129000,129000,135000,138000,135000,127000,122000,112000,116000,109000,103000,106000,107000,119000,123000,122000,123000,128000,127000,126000,117000,120000,120000,124000,107000,104000,114000,116000,103000,105000
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,33,62.3,47.7,77,84.3,62.3,44,40.3,58.7,62.3,55,62.3,55,44,51.3,58.7,62.3,62.3,51.3,51.3,55,55,121,58.7,47.7,66,62.3,66,66,62.3,62.3,62.3,66,84.3,84.3,80.7,84.3,84.3,88,84.3,84.3,58.7,58.7,47.7,99,95.3,121,121,132,114,106,154
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,,,,3.67,,,,,14.7,29.3,51.3,80.7,80.7,216,213,150,161,205,451,385,675,1070,1020,1900,1950,,,3810,2820,5230,6000,3170,9410,6130,7000,12400,15100,11600,10300,15100,15800,80100,20500,25600,28700,38300,47400,50800,47900,51200,59800,65100,69600,54500,65200,57100,51900,54100,56200,56600,60800,57000,65800,65600,69000,74600,62600,62600,66500,75100,63800,57300,63700,68700,76600,90800,92000,93400,93100,93200,101000,110000,111000,116000,109000,122000,115000,106000,124000,130000,133000,123000,134000,167000,173000,152000,173000,193000,192000,152000,165000,170000,161000,179000,180000,189000,177000,199000,184000,185000
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,664,304,180,363,524,656,733,513,502,400,557,803,792,836,851,920,1020,1320,1160,1140,1350,1650,1710,1820,1740,1690,1770,1860,2450,2630,2810,3280,3620,3420,3960,5220,5240,5190,4580,4550,4220,4230,4710,5800,6130,6230,6950,6640,6180,3300,2710,1430,612,,,,,,,,,,3530,2910,2880,5020,6610,7490,7990,9350,9120,11800,13200,19200,23000,23600,27100,28200,24500,23100,25100,19100,21800,13900,15300,15400,16300,16800,17700,18400,19300,17600,21200,23100,26000,23200,17500,21400,21500,21500,23000,26200,29100,34700,45100,47500,47700,53600,61100,70800,78800,90500,98100,103000,105000,118000,129000,143000,152000,142000,147000,167000
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.7,40.3,58.7,69.7,4460,2490,2330,2960,1880,2600,3630,2670,3890,2920,3630,3930,3470,3050,11600,4680,2510,1970,1500,2730,2250,2170,2570,2980,3110,3220,3320,4230,5950,6330,7170,8660,8270,8680,9600,10000,9600,9210,9950,8710,9060,10500,10600,13400,12200,13900,14600,16200,15800,17300,18900,20000,21300,21000,22300,24600,23400,19700,18700,25500,22700
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3280,3920,3500,4790,4570,4280,3770,3790,4070,4590,4200,4080,4030,3740,3480,3600,3530,3370,3520,3270,2820,2750,2890,2700,3140,2600,2450,2420,2460,2500,2420,2170,1870,2390,2310,1810,1820,1910,1980,2110,2150,2290,2290,1930,2170,2510,2690,2940,3670,3960,4500
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,143,235,253,279,396,411,433,513,521,583,843,986,1180,1320,1180,1230,1390,1390,1240,1490,1570,1830,2320,2410,2910,2750,2490,1560,1160,1280,1710,1840,1870,2740,2770,2970,3430,3750,4140,4720,4800,4470,4320,4040,4540,5130,,,,,,,,,,,,,,,4470,5210,6050,5300,6380,6750,8160,8740,8230,9280,9060,8320,10900,9300,9300,9450,9640,9440,8810,10500,9920,10300,13100,15200,16100,16200,15600,16000,17000,16400,17800,15100,15000,14400,14300,15800,13900,12600,12000,10700,9490,10800,10400,9890,7770,5600,7780,9560,7790,11700,12000
